File Name,Domain,Neapolitan Text
002.m4a,Play,E chesto capisce tu: 'e denare!
003.m4a,Play,E cu' 'e denare t'he accattato tutto chello ca he voluto!
004.m4a,Play,Ma Filumena Marturano ha fatto correre essa a te! E currive senza ca te n'addunave.
005.m4a,Play,"E ancora he 'a correre, ancora he 'a iettà 'o sango a capi comme se campa e se prucede 'a galantomo!"
006.m4a,Play,O miédeco nun sapeva niente.
007.m4a,Play,"Ce ha creduto pur'isso, e ce avev' 'a credere!"
008.m4a,Play,"Qualunque femmena, doppo vinticinc'anne che ha passato vicino a te, se mette in agonia."
009.m4a,Play,T'aggio fatto 'a serva!
010.m4a,Play,"A serva ll'aggio fatta pè vinticinc'anne, e vuie 'o ssapite."
011.m4a,Play,"E maie ca t'avesse visto sottomessa, che ssaccio?"
012.m4a,Play,E avev' 'a chiagnere pe' te?
013.m4a,Play,Era troppo bello 'o mobile.
014.m4a,Play,"E quanno me vulive vedé 'e durmi, tu?"
015.m4a,Play,A strada d' 'a casa t' 'a scurdave.
016.m4a,Play,"E mmeglie feste, 'e meglie Natale me ll'aggio passate sola comm' a na cana."
017.m4a,Play,Saie quanno se chiagne?
018.m4a,Play,Quanno se cunosce 'o bbene e nun se pò avé!
019.m4a,Play,Ma Filumena Marturano bene nun ne cunosce... e quanno se cunosce sulo 'o mmale nun se chiagne.
020.m4a,Play,"A suddisfazione 'e chiagnere, Filumena Marturano, nun l'ha pututa maie avé!"
021.m4a,Play,"Comm' all'ultima femmena m' he trattato, sempe!"
022.m4a,Play,"Ma mo, all'urdemo all'urdemo, a cinquantaduie anne, se retira cu' 'e fazzulette spuorche 'e russetto, ca me fanno schifo."
023.m4a,Play,"A chella chi? .,. A chella chi?"
024.m4a,Play,Appriesso a chella schifosa!
025.m4a,Play,Che te cride ca nun l'avevo capito?
026.m4a,Play,"Tu buscie nun ne saie dicere, e chisto è 'o difetto tuio."
027.m4a,Play,"Cinquantaduie anne, e se permette 'e se mettere cu' na figliola 'e vintiduie!"
028.m4a,Play,Nun se ne mette scuorno
029.m4a,Play,"E mm' 'a mette dint' 'a casa, dicenno ca era l'infermiera... Pecché isso se credeva overo ca io stevo murenno."
030.m4a,Play,Madonna... quanto me faie schifo!
031.m4a,Play,"E se io stevo murenno overamente, tu chesto avisse fatto?"
032.m4a,Play,"Ma pecché, tu murive e io nun avev' 'a magnà cchiu?"
033.m4a,Play,Nun m'avev' 'a sustené?
034.m4a,Play,Ch'e rrose mmiez' 'a tavula?
035.m4a,Play,"Ma pecché, nun ero padrone d' 'e mmettere?"
036.m4a,Play,Quanto me faie ridere!
037.m4a,Play,"Ma che me ne mporta 'e te, d' 'a figliola che t'ha fatto perdere 'a capa, 'e tutto chello ca me dice?"
038.m4a,Play,Ma tu te cride overo ca io ll'aggio fatto pe' te?
039.m4a,Play,"Ma io nun te curo, nun t'aggio maie curato."
040.m4a,Play,"Na femmena comm' a mme, ll'he ditto tu e mm' 'o stai dicenno 'a vinticinc'anne, se fa 'e cunte."
041.m4a,Play,"Me sierve... Tu, me sierve!"
042.m4a,Play,E denare! E nun te l'avarria date?
043.m4a,Play,"Filume', tu afforza me vuo pògnere?"
044.m4a,Play,"Ma pecché nun avev' 'a mangià, secondo voi?"
045.m4a,Play,Qua sta 'a cena.
046.m4a,Play,"Quanno site venuto ogge p'urdinà 'a cena, ve ricurdate?"
047.m4a,Poetry,"Cient’anne arreto ch’era viva Vava,"
048.m4a,Poetry,"nnante che ffosse Vartommeo Coglione,"
049.m4a,Poetry,dicea no cierto che l’auciello arava
050.m4a,Poetry,a ttiempo che sguigliaje lo Sciatamone.
051.m4a,Poetry,"Nc’era lo Rre Marruocco che s’armava,"
052.m4a,Poetry,"panzera, lanza longa e toracone,"
053.m4a,Poetry,e po’ jeva a ttrovà li Mammalucche
054.m4a,Poetry,"co balestre, spigarde, e co ttrabucche."
055.m4a,Poetry,"Chillo fu tiempo che Berta filava,"
056.m4a,Poetry,co chillo doce vivere a l’antica!
057.m4a,Poetry,"Portave brache, e nullo delleggiava!"
058.m4a,Poetry,"Ogn’anno, il due novembre, c’è l’usanza per i defunti andare al Cimitero,"
059.m4a,Poetry,"Si pe la via na femmena passava,"
060.m4a,Poetry,le dicevano: “Ddio la benedica!”.
061.m4a,Poetry,"Mo, s’uno parla, e chella se corruzza."
062.m4a,Poetry,Chi te pienze che ssia? Monna Maruzza.
063.m4a,Poetry,"O bell’ausanza, e ddove si’ squagliata?"
064.m4a,Poetry,"Pecchè non tuorne, o doce tiempo antico?"
065.m4a,Poetry,"Pigliave co lo bisco, a na chiammata,"
066.m4a,Poetry,cient’aucelluzze a no trunco de fico!
067.m4a,Poetry,"Le ffemmene, addorose de colata,"
068.m4a,Poetry,"Ma chi te cride d’essere, nu ddio? Cca dinto, ‘o vvuò capì ca simmo eguae?"
069.m4a,Poetry,"danzanno tutte ‘n chietta, (oh bona fede!)"
070.m4a,Poetry,"Madonna, si ce penzo che paura! ma po’ facett’ un’anema ‘e curaggio"
071.m4a,Poetry,Dove se trova mai tanta lianza!
072.m4a,Poetry,"Lo marito sì ccaro a la mogliera,"
073.m4a,Poetry,che a mano a mano ‘ntravano a na danza
074.m4a,Poetry,co chella ciaramella tant’allera!
075.m4a,Poetry,"Vedive, a chioppa a chioppa, na paranza"
076.m4a,Poetry,co chell’antica e semprece manera!
077.m4a,Poetry,"Lo viecchio a chillo tiempo era zitiello,"
078.m4a,Poetry,co le brache stringate e ‘n jopponciello.
079.m4a,Poetry,Chillo non era tiempo ammagagnato!
080.m4a,Poetry,"Le ffemmene assettate mmiezo chiazza,"
081.m4a,Poetry,"non c’era n’ommo ch’avesse parlato,"
082.m4a,Poetry,ca vernava ‘n cajola la cajazza.
083.m4a,Poetry,era tenuto pe gallo de razza.
084.m4a,Poetry,Ll’uno co ll’autro lo mostrav’a dito:
085.m4a,Poetry,"“Chillo che passa mo, chill’è lo zito!”"
086.m4a,Poetry,Tutte le bon’ausanze so’ lassate!
087.m4a,Poetry,Le rose mo deventano papagne!
088.m4a,Poetry,"Lo vicenato, ‘n chietta e ‘n lebertate,"
089.m4a,Poetry,"a chillo tiempo jevano a li vagne,"
090.m4a,Poetry,Pecché ‘ncopp’a sta terra femmene comme a te non ce hanna sta pé n’ommo onesto comme a me!…
091.m4a,Poetry,Si ddoce comme ‘o zucchero
092.m4a,Poetry,"E ghievano abbracciate a otto, a diece,"
093.m4a,Poetry,cchiù ghianche e rosse che le mmela-diece
094.m4a,Poetry,Chella co la gonnella de scarlata
095.m4a,Poetry,portava perne grosse comm’antrita.
096.m4a,Blog,O Puorto 'e Napule è nu puorto mpizzato int''o Gurfo 'e Napule ca se spanne int''a custiera d''a cità 'e Napule.
097.m4a,Blog,È uno d''e cchiù mpurtanti puorte d'Europa.​
098.m4a,Blog,Melito 'e Napule (ditto Mêlito d''a ggente) è nu comune 'e 38.062 crestiane d''a pruvincia 'e Napule.
099.m4a,Blog,"O Regno 'e Napule (nomme ufficiale: Regno 'e Sicilia citeriore) è 'o nomme cu cui è canusciuto nu stato indipendente, ca esisteva tra 'o XIII e 'o XIX seculo e ca currispunneva a ll'attuale reggione 'e ll'Italia meridiunale, 'ncluse Abruzzo e parte d""o Lazzio, ma cca lassava fore 'a Sicilia"
100.m4a,Blog,"O gurfo 'e Napule è na 'nzenatura d''o Mar Tirreno meriddionale, cumprèsce 'nfra 'a penisula flegrea a nord-ovest (capo Miseno) e 'a penisula surrientina a sud-est (punta Campanella)"
101.m4a,Blog,A Zona Nnustriale (o Gianturco) è nu rione 'e 6082 crestiani d''a part' 'e levante 'e Napule.
102.m4a,Blog,O nomme Gianturco vene d''a via prencepale d''o rione: via Emanuele Gianturco.​
103.m4a,Blog,Tutte 'e cristiane nasceno libbere e pare pe degnetà e jusse; teneno cereviello e cuscienza e hanno 'a faticà ll'une cu ll'ate cu nu spireto 'e fraternetà.​
104.m4a,Blog,"O nnapulitano è na lengua rumanza ca se parla 'n Campania e all'ate parte d""o Sud-Italia."
105.m4a,Blog,"Soletamente, però, so' cchiammate accussí tutt' 'e dialette ca se parlano ô Sud cuntinentale (Campania, Abruzzo, Lucania, nord d'a Calavrea, nord d'a Puglia, Molise, sudd d""o Lazzio e na pparte d""e Marche) e parlate ca se ntenneno ll'une cu ll'ate e teneno cierte rréole símmele."
106.m4a,Blog,"Chesta idea nun è 'a stessa pe tutte 'e lenguiste; cierte diceno mméce ca, cu tutte 'e ddifferenze ca ce stanno nfra chisti dialette e p' 'o fatto ca nun ce sta nisciuna standardizzazione, nun se pô parlà 'e na ""lengua napulitana"" e parlano mméce 'e nu cuntinuo 'e ""dialette taliane meridiunale ntermedie""."
107.m4a,Blog,O Nnapulitano è na lengua o nu dialetto?
108.m4a,Blog,Chi 'o pparla e addò?​
109.m4a,Blog,"E ancora, quanno s'avess' 'a parlà Taliano e quanno 'o dialetto?​"
110.m4a,Blog,Nun ce sta periculo ca 'stu fatto succede a Napule.​
111.m4a,Blog,"O fatto è ca ê ffamiglie e ê putecare, pe Napule e 'e pizze vicine, lle piace 'e cchiù 'e parlà Nnapulitano, 'a lengua antica d''o Rregno d''e Ddoje Secilie."
112.m4a,Blog,"Museciste e judece, chianchiere e barriste sciuliéano assaje spisso int''o ddialetto lucale."
113.m4a,Blog,"Pe tutte ll'anne ca io songo stata a Napule, aggio cercato 'e tutt' 'e mmanere, ma quase sempe a vvacante, comm'avevo 'a fa' pe trasì int' 'a suggità secreta d''a ggente che parlano 'o Nnapulitano."
114.m4a,Blog,Ogni scarrafone è bello 'a mamma soja.​
115.m4a,Blog,A cucina piccerella fa la casa granne.
116.m4a,Blog,Ccà nisciuno è fesso.​
117.m4a,Blog,Chi nun sape chiagnere nun sape manco rirere
118.m4a,Blog,"Vide Napule, e po' muore.​"
119.m4a,Blog,A 'o core nun se cumanna.
120.m4a,Blog,Tutto 'o lassato è perduto.
121.m4a,Blog,"Chiù 'a capa è vacante, chiù 'a lengua è longa."
122.m4a,Blog,"Si sí felice, tienetello pe te; ca addó nun arriva l’invidia, arriva 'a sfurtuna."
123.m4a,Blog,"Vulesse, potesse e facesse, ereno tre fesse.​"
124.m4a,Blog,Nun ve 'ntricate tra marito e mugliera.​
125.m4a,Blog,"Chi bella vo' paré', pene e guaie adda' paté'."
126.m4a,Play,Se mangiaie duie chile d'uva 'e nascosto d' 'a mamma.
127.m4a,Play,"Già, me faceva male 'o pede."
128.m4a,Play,E pecché avess' 'a ji' malamente?
129.m4a,Play,Nu mumento... Io nun me so' sbagliata.
130.m4a,Play,Ma a me mi pare che si abusi della cortesia altrui!
131.m4a,Play,"Guè, ccà se tratta 'e na cosa seria, t'aggio ditto!"
132.m4a,Play,"Nun tene 'o curaggio d'ascì ccà fore. Iammo nnanze, avvoca'."
133.m4a,Play,"Statte zitto, ca manco tu he capito."
134.m4a,Play,Io nun saccio leggere e po' carte nun n'accetto!
135.m4a,Play,"Allora io aggio spiso na vita pè furmà na famiglia, e 'a legge nun m' 'o permette?"
136.m4a,Play,"E chi si' tu, ca me vuò mpedì 'e dicere, vicin' 'e figlie mieie, ca me so' ffiglie?"
137.m4a,Play,"E va bbuono, mo basta!"
138.m4a,Play,Dimane me manno a piglià 'a rrobba mia.
139.m4a,Play,"Te putevo dicere ca tutt'e tre t'erano figlie, ce avarrisse creduto... T' 'o ffacevo credere!"
140.m4a,Play,"No una, ma ciento vote, me l'avarrisse fatto accidere!"
141.m4a,Play,"Me mettette appaura 'e t' 'o ddicere! Sulo per me, è vivo 'o figlio tuio!"
142.m4a,Play,Hann’ ‘a essere eguale tutt' 'e tre!
"This dataset is released under a Creative Commons Attribution-NonCommercial (CC BY-NC 4.0) license.
 All participants provided informed consent, and no sensitive or personal information is included.",,
